reviewId,content,score
d5e8c243-9246-4d01-9e7f-f693b8e932a1,"Love it, its easy to stored the important document.",5
df13cec8-4407-4a33-93d5-475cdb8b53ac,"It's so good for me about my files an photos... video,'s",5
ba2382b2-71d5-4e7a-8e2a-1765eda6ed9f,my old images miss,5
3a2fc0df-0ac9-422b-a619-513d3ad2a092,"Secure, easy to use, grow with you.",5
96560720-192b-46aa-bc5b-932e0e785cda,Very good,1
24e95041-1098-4672-99a0-6966f09daea3,This is the worst app paid for it forever and it didn't save all my pictures I was very pissed,1
1ae51919-9e60-47b9-8a9f-3ad552648f5f,storage will not lower when you delete a bunch of stuff bc it is now all about them making you buy storage! RIDICULOUS!,1
7c80ebde-3d32-44ae-a689-4fd6340355b5,"Utterly useless. Refuses to upload even a single image, or takes an hour to do so after telling me I'm not connected to a network, which is false. I've switched back to using the dropbox website on both mobile and desktop with no problems. I've been using Dropbox app on mobile and desktop and it's honestly never been worse. I just bought a faster cable to hardwire my phone to my desktop to transfer files. What a better option 🤪",1
c09ee485-16b7-4a9f-a3c2-701cb91c0216,"Utter confusion... This should be easy . Files I've turned off automatic saving , still randomly save without me asking them to be save . This is too tricky and doesn't do what's asked",1
39238877-6bd4-41c4-856c-58447c4a2f20,"Long time user, but after the most recent update, and on my samsung android phone, a text document scrolls rapidly to the end when I stop typing for a second. After consulting community posts, I turned off ""Grammerly"" text correction for the app and hope that works.",3
97399536-8548-4f00-8fcb-4eb8f413ba4f,video creator,5
447e85e7-3ecd-496f-b10b-e3f4e425f3bb,Bad,2
3f9680f3-9462-4009-bc82-2710e5187966,Great!,5
33cb396e-314e-453b-93b5-c64570a7ed19,"The printer only worked a few months and then it seemed to be running low on ink? I ran diagnostics, it said ink was fine but won't print. And to call HP Tech SVC., It's 💔.",2
c5b5dd05-663a-4c45-8b8f-317fc357fbb7,nice aap,1
ac1192f1-1f90-4276-91f1-f77a40bebd9f,Fabulous,5
e1a7ee91-8dda-4ffa-8d88-aa96dc601382,Very good and useful,4
126f733c-c355-4d39-97ef-3f245c71d5c7,Hella annoying and all that for 2 miserable gigabytes? What a joke. Its 2023 not 1993 where 2gb wasnt a single photo.,2
b1b84c34-1904-4cca-837d-3603abb3179b,Any phone update and this app turns off camera uploads...,1
348902f0-40e5-437f-b7a8-b04e15e6d15f,I can't use anti-virus with this app... I want to uninstall but can't do it...,1
c6713edf-aa01-409a-ace7-ce77aaa4ad71,good,4
7a117291-4c4e-410b-9450-989167d5e3d7,I Cannot add a secondary email and it frustrates me. Keeps giving me message that secondary email taken. There is no way to get support from Dropbox.,1
a4582d15-0326-417c-9cd2-9368b5b170a7,"It used to have web-based application. Now, no more!???",1
4af2cfb3-4569-4ffd-9cc0-21620c468b92,I HATE this app. I have a photography business and it now takes me almost an hour to upload 30 photos. And it frequently freezes up altogether. It's like I need to buy a 2nd computer just for uploading photos to garbage dropbox because it ties up the computer for so long.I have the most expensive subscription and the fastest internet available. It makes my normal work day much more difficult. The only part of my work day I don't like is dealing with dropbox.,1
36d1d019-3daf-419c-bb93-461eef9e736f,videos overlapping,1
5c60d718-b50d-440e-83a5-27a17d8fbbab,Good,5
d44d3628-f84e-4cec-9b37-46f196bd38d6,excellent personal database.,4
73f838b1-fec6-4c4b-9a23-22cbce1135d2,It's a great app to easily save your online data.,4
0dd9fddb-3030-47d8-986a-c713d751a307,It gives problems when I'm uploading files from school website,2
c9083804-a04e-44a8-9afb-9611653f6c05,It's ok.. Not great but ok. I use it and others because I don't trust this to be my only..,4
